Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|90|57||Fairfield
Nov 10, 2018|W|84|75||Ball St.
Nov 15, 2018|W|92|70||App. St.
Nov 16, 2018|W|79|58||Davidson
Nov 18, 2018|L|83|89||Virginia Tech
Nov 23, 2018|W|84|46||Robert Morris
Nov 28, 2018|L|72|73||Florida St.
Dec 1, 2018|L|57|76||Michigan
Dec 6, 2018|W|62|60||Maryland
Dec 9, 2018|L|68|72||Texas
Dec 15, 2018|L|80|88||Notre Dame
Dec 20, 2018|W|95|67||Ohio
Dec 29, 2018|W|73|62||Belmont
Jan 3, 2019|W|86|70||Iowa
Jan 8, 2019|L|59|77||Michigan St.
Jan 11, 2019|W|84|80 |OT|Wisconsin
Jan 15, 2019|W|89|54||Rutgers
Jan 19, 2019|W|70|55||Indiana
Jan 23, 2019|W|79|67||Ohio St.
Jan 27, 2019|W|73|63||Michigan St.
Jan 31, 2019|W|99|90 |OT|Penn St.
Feb 3, 2019|W|73|63||Minnesota
Feb 9, 2019|W|81|62||Nebraska
Feb 12, 2019|L|56|70||Maryland
Feb 16, 2019|W|76|64||Penn St.

Total Points For:|1944
Total Points Against:|1708
Average Points For:|77.76
Average Points Against:|68.32
Average Point Difference:|9.44

Win Percentage:|72.0
