Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|81|64||Santa Clara
Nov 12, 2018|L|80|91||Baylor
Nov 14, 2018|L|57|70||UT-Rio Grande Valley
Nov 17, 2018|L|67|74||Lamar
Nov 19, 2018|L|66|74||UNC-Green.
Nov 21, 2018|L|64|76||East Carolina
Nov 23, 2018|L|54|65||Georgia Tech
Dec 1, 2018|L|67|83||Murray St.
Dec 4, 2018|L|68|82||Louisiana Tech
Dec 11, 2018|L|90|122||Louisiana
Dec 20, 2018|L|64|102||Seattle
Dec 29, 2018|L|62|76||Winthrop
Jan 2, 2019|W|81|65||
Jan 5, 2019|W|82|73||Southern U.
Jan 7, 2019|W|57|54||Alcorn St.
Jan 12, 2019|W|79|73||Texas So.
Jan 19, 2019|W|55|51||Jackson St.
Jan 21, 2019|W|83|66||Grambling
Jan 26, 2019|W|89|78||Miss Valley St.
Jan 28, 2019|W|79|63||Ark.-Pine Bluff
Feb 2, 2019|W|81|65||Alabama A&amp;M
Feb 4, 2019|W|69|67||Alabama St.
Feb 9, 2019|L|90|95||Texas So.
Feb 16, 2019|W|79|66||Jackson St.

Total Points For:|1744
Total Points Against:|1795
Average Points For:|72.6666666667
Average Points Against:|74.7916666667
Average Point Difference:|-2.125

Win Percentage:|50.0
