Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|L|53|86||Villanova
Nov 15, 2018|L|54|68||Hartford
Nov 20, 2018|W|69|63||New Hamp.
Nov 25, 2018|W|58|50||Maine
Nov 28, 2018|L|62|69||Massachusetts
Dec 1, 2018|L|61|71||Stony Brook
Dec 5, 2018|W|64|59||Dartmouth
Dec 8, 2018|W|88|77||Lafayette
Dec 16, 2018|L|83|92||Drexel
Dec 19, 2018|W|87|63||Bethune-Cook.
Dec 22, 2018|L|73|76||Stony Brook
Jan 3, 2019|W|63|59||Manhattan
Jan 5, 2019|L|67|72||Rider
Jan 10, 2019|W|89|83 |OT|Monmouth
Jan 13, 2019|W|80|78||Fairfield
Jan 17, 2019|L|63|65||Canisius
Jan 19, 2019|L|72|75||Niagara
Jan 25, 2019|W|92|78||Marist
Jan 27, 2019|W|77|58||St. Peter&#039;s
Feb 1, 2019|L|70|75||Canisius
Feb 3, 2019|W|84|73||Niagara
Feb 8, 2019|W|66|65||Iona
Feb 12, 2019|W|98|88 |OT|Rider
Feb 15, 2019|L|61|63||Marist
Feb 17, 2019|W|107|100 |OT|Siena

Total Points For:|1841
Total Points Against:|1806
Average Points For:|73.64
Average Points Against:|72.24
Average Point Difference:|1.4

Win Percentage:|56.0
