Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|91|57||Davis-Elkins
Nov 9, 2018|W|88|78||Ill.-Chicago
Nov 14, 2018|W|63|60||Notre Dame
Nov 17, 2018|L|64|69||Duquesne
Nov 20, 2018|W|81|72||William &amp; Mary
Nov 26, 2018|W|102|69||Glenville St.
Nov 30, 2018|W|62|59||Texas
Dec 4, 2018|L|66|73||James Madison
Dec 8, 2018|L|69|78||Ohio
Dec 15, 2018|L|66|74||Clemson
Dec 18, 2018|L|58|65||UNC-Green.
Dec 21, 2018|W|80|68||Ga. Southern
Dec 29, 2018|L|64|78||Maryland
Jan 1, 2019|W|80|51||Mars Hill
Jan 5, 2019|W|71|64||Longwood
Jan 10, 2019|W|79|72||SC Upstate
Jan 12, 2019|W|79|77||Presbyterian
Jan 17, 2019|W|75|58||Gardner-Webb
Jan 19, 2019|W|71|63||UNC-Ash.
Jan 21, 2019|W|72|59||Longwood
Jan 24, 2019|W|86|78||Charleston So.
Jan 30, 2019|L|67|68||Campbell
Feb 2, 2019|W|80|61||Winthrop
Feb 7, 2019|W|101|98 |OT|Hampton
Feb 9, 2019|W|69|66 |OT|High Point
Feb 16, 2019|L|52|53||Charleston So.

Total Points For:|1936
Total Points Against:|1768
Average Points For:|74.4615384615
Average Points Against:|68.0
Average Point Difference:|6.46153846154

Win Percentage:|69.2307692308
