Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|97|63||Bryant
Nov 13, 2018|L|55|66||Charleston
Nov 16, 2018|W|76|74||Harvard
Nov 24, 2018|L|58|68||Stony Brook
Nov 28, 2018|W|71|51||Brown
Dec 1, 2018|L|50|59||Providence
Dec 8, 2018|W|79|63||Holy Cross
Dec 16, 2018|W|83|70||West Virginia
Dec 22, 2018|L|82|84||Bucknell
Dec 24, 2018|W|75|61||Charlotte
Dec 25, 2018|L|60|68||Hawaii
Dec 30, 2018|W|72|60||Middle Tenn.
Jan 6, 2019|L|53|60||Saint Louis
Jan 9, 2019|W|78|67||Richmond
Jan 13, 2019|L|67|84||George Mason
Jan 16, 2019|W|75|63||St. Bona.
Jan 19, 2019|W|78|67||La Salle
Jan 23, 2019|W|71|65||VCU
Jan 27, 2019|L|70|77||Massachusetts
Jan 30, 2019|L|72|75||Duquesne
Feb 2, 2019|W|65|54||Saint Louis
Feb 6, 2019|L|53|68||Davidson
Feb 9, 2019|L|48|77||Dayton
Feb 16, 2019|L|63 |66|OT|Fordham

Total Points For:|1651
Total Points Against:|1610
Average Points For:|68.7916666667
Average Points Against:|67.0833333333
Average Point Difference:|1.70833333333

Win Percentage:|50.0
