Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|80|64||St. Leo
Nov 9, 2018|L|76|92||Penn
Nov 12, 2018|W|73|59||Alabama A&amp;M
Nov 14, 2018|L|68|79||Houston
Nov 17, 2018|W|102|74||Northwestern St.
Nov 21, 2018|L|78|105||BYU
Nov 25, 2018|L|61|90||Wichita St.
Nov 28, 2018|L|60|74||Texas St.
Dec 1, 2018|L|68|75||Lamar
Dec 13, 2018|W|78|73||St. Edwards
Dec 15, 2018|L|89 |99|OT|UCSB
Dec 18, 2018|W|75|67||UT-Rio Grande Valley
Dec 21, 2018|L|66|83||Neb.-Omaha
Dec 29, 2018|L|87|103||North Texas
Jan 3, 2019|W|73|65||So. Miss
Jan 5, 2019|W|78|66||Louisiana Tech
Jan 10, 2019|L|79|95||UT-San Antonio
Jan 12, 2019|L|64|65||UTEP
Jan 19, 2019|L|75|76||North Texas
Jan 24, 2019|W|79|68||Middle Tenn.
Jan 26, 2019|L|86|89||UAB
Jan 31, 2019|W|65|61||Charlotte
Feb 2, 2019|L|76|80||Old Dominion
Feb 7, 2019|L|85 |92|OT|W. Kentucky
Feb 9, 2019|W|74|69||Marshall
Feb 14, 2019|L|65|86||FIU
Feb 16, 2019|L|41|60||FAU

Total Points For:|2001
Total Points Against:|2109
Average Points For:|74.1111111111
Average Points Against:|78.1111111111
Average Point Difference:|-4.0

Win Percentage:|37.037037037
