Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|58|63||Longwood
Nov 14, 2018|W|88|66||St. Fran.-NY
Nov 16, 2018|W|78|70||IUPUI
Nov 19, 2018|L|66|82||Loyola-Chi.
Nov 21, 2018|L|66|68||Wyoming
Nov 25, 2018|L|66|86||Hampton
Nov 28, 2018|L|82|90||Georgetown
Dec 1, 2018|W|84|74||Wake Forest
Dec 5, 2018|W|82|47||Coppin St.
Dec 15, 2018|L|52|59||Oral Roberts
Dec 19, 2018|L|54|63||Old Dominion
Dec 22, 2018|W|74|59||High Point
Dec 29, 2018|W|91|82||South Alabama
Jan 6, 2019|L|48|72||Dayton
Jan 9, 2019|L|67|78||Rhode Island
Jan 12, 2019|W|76|56||George Wash.
Jan 16, 2019|L|68|74||Duquesne
Jan 19, 2019|L|62|75||Davidson
Jan 23, 2019|L|70|74||Saint Joseph&#039;s
Jan 26, 2019|L|57|66||St. Bona.
Jan 30, 2019|W|84|81||Saint Louis
Feb 2, 2019|L|58|66||La Salle
Feb 6, 2019|W|81|67||George Mason
Feb 9, 2019|W|89|63||George Wash.
Feb 13, 2019|L|60|81||VCU

Total Points For:|1761
Total Points Against:|1762
Average Points For:|70.44
Average Points Against:|70.48
Average Point Difference:|-0.04

Win Percentage:|40.0
