Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|70|84||UCF
Nov 19, 2018|W|87|67||Coppin St.
Nov 24, 2018|W|89|65||Wagner
Nov 28, 2018|L|78|92||West Virginia
Dec 8, 2018|L|73|89||Hofstra
Dec 12, 2018|W|81|71||Norfolk St.
Dec 15, 2018|W|69|50||Robert Morris
Dec 17, 2018|L|80|94||Washington St.
Dec 19, 2018|L|58|76||Drake
Dec 22, 2018|W|74|67||N. Colorado
Dec 23, 2018|L|80|81||CSNorthridge 
Dec 30, 2018|L|79|90||VCU
Jan 3, 2019|W|83|82||Fairfield
Jan 5, 2019|W|72|67||Quinnipiac
Jan 11, 2019|W|82|73||Canisius
Jan 13, 2019|W|104|84||Niagara
Jan 19, 2019|W|60|47||Manhattan
Jan 25, 2019|L|71|77||Iona
Jan 27, 2019|W|86|85||Marist
Jan 31, 2019|W|59|51||St. Peter&#039;s
Feb 2, 2019|L|71|75||Monmouth
Feb 5, 2019|L|66|73||Manhattan
Feb 8, 2019|L|80|81||Canisius
Feb 10, 2019|L|57|59||Siena
Feb 12, 2019|L|88 |98|OT|Quinnipiac
Feb 15, 2019|W|81|72||Monmouth
Feb 17, 2019|W|71|65||St. Peter&#039;s

Total Points For:|2049
Total Points Against:|2015
Average Points For:|75.8888888889
Average Points Against:|74.6296296296
Average Point Difference:|1.25925925926

Win Percentage:|51.8518518519
