Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|90|55||F. Dickinson
Nov 11, 2018|W|95|66||Drexel
Nov 16, 2018|L|65|84||St. John&#039;s
Nov 19, 2018|W|63|36||E. Michigan
Nov 23, 2018|W|54|44||Boston U.
Nov 28, 2018|W|57|54||Miami (Fla.)
Nov 30, 2018|L|67|78||Michigan St.
Dec 3, 2018|L|64|69||Wisconsin
Dec 8, 2018|L|70|78||Fordham
Dec 15, 2018|L|66|72||Seton Hall
Dec 22, 2018|W|68|65 |OT|Columbia
Dec 29, 2018|W|70|55||Maine
Jan 5, 2019|L|63|77||Maryland
Jan 9, 2019|W|64|61||Ohio St.
Jan 12, 2019|L|70|88||Minnesota
Jan 15, 2019|L|54|89||Purdue
Jan 18, 2019|L|57|65||Northwestern
Jan 21, 2019|W|76|69||Nebraska
Jan 26, 2019|W|64|60||Penn St.
Jan 30, 2019|W|66|58||Indiana
Feb 2, 2019|L|62|76||Ohio St.
Feb 5, 2019|L|65|77||Michigan
Feb 9, 2019|L|94 |99|OT|Illinois
Feb 13, 2019|W|59|56||Northwestern
Feb 16, 2019|L|69|71||Iowa

Total Points For:|1692
Total Points Against:|1702
Average Points For:|67.68
Average Points Against:|68.08
Average Point Difference:|-0.4

Win Percentage:|48.0
