Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|81|93||Holy Cross
Nov 12, 2018|W|114|72||
Nov 16, 2018|W|79|78||Army
Nov 17, 2018|L|77|82||Brown
Nov 18, 2018|L|90|94||UMass Lowell
Nov 24, 2018|L|73|78||Binghamton
Nov 27, 2018|W|98|89||Hartford
Nov 29, 2018|L|73|81||Boston College
Dec 2, 2018|W|64|62||Lafayette
Dec 10, 2018|L|73|82||Dartmouth
Dec 19, 2018|L|76|90||Seton Hall
Dec 22, 2018|L|82|104||St. John&#039;s
Dec 29, 2018|L|91 |100|OT|UMass Lowell
Jan 3, 2019|W|79|75||LIU-Brooklyn
Jan 5, 2019|W|73|61||CCSU
Jan 10, 2019|L|73|76||Wagner
Jan 12, 2019|W|98|70||Bryant
Jan 19, 2019|L|85|92||St. Fran.-NY
Jan 21, 2019|W|62|38||Wagner
Jan 24, 2019|L|64|72||Robert Morris
Jan 26, 2019|L|78|79||St. Fran.-Pa.
Jan 31, 2019|W|87|79||Mt St Mary&#039;s
Feb 2, 2019|W|71|62||St. Fran.-NY
Feb 7, 2019|W|69|63||F. Dickinson
Feb 9, 2019|L|73|76||Mt St Mary&#039;s
Feb 14, 2019|W|105|104||Bryant
Feb 16, 2019|L|84|92||LIU-Brooklyn

Total Points For:|2172
Total Points Against:|2144
Average Points For:|80.4444444444
Average Points Against:|79.4074074074
Average Point Difference:|1.03703703704

Win Percentage:|44.4444444444
