Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|76|52||
Nov 20, 2018|W|58|55||Cal Poly
Nov 24, 2018|W|87|82 |OT|UC Davis
Nov 29, 2018|L|58|75||CSFullerton
Dec 1, 2018|W|88|68||UCSB
Dec 8, 2018|L|67|76||CSNorthridge 
Dec 11, 2018|W|81|56||Portland
Dec 13, 2018|W|89|40||
Dec 21, 2018|L|41|57||Westcliff
Dec 29, 2018|L|65|70||Washington
Jan 3, 2019|L|56|87||N. Colorado
Jan 5, 2019|L|70|84||Montana
Jan 12, 2019|L|70|72||Montana St.
Jan 17, 2019|W|66|64||Idaho St.
Jan 19, 2019|L|71|76||N. Arizona
Jan 24, 2019|W|69|48||So. Utah
Jan 26, 2019|L|92 |94|OT|Idaho
Jan 31, 2019|W|74|58||E. Washington
Feb 2, 2019|L|65|75||Idaho St.
Feb 9, 2019|L|59|65||Weber St.
Feb 11, 2019|W|78|67||N. Colorado
Feb 14, 2019|W|84|73||Portland St.
Feb 16, 2019|L|66|78||So. Utah

Total Points For:|1630
Total Points Against:|1572
Average Points For:|70.8695652174
Average Points Against:|68.347826087
Average Point Difference:|2.52173913043

Win Percentage:|47.8260869565
