Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|58|101||Auburn
Nov 11, 2018|W|106|76||
Nov 16, 2018|W|73|54||Chattanooga
Nov 17, 2018|L|48|71||Jacksonville
Nov 19, 2018|W|79|58||SE Missouri St.
Nov 23, 2018|L|62|74||Texas A&amp;M
Nov 28, 2018|L|67|71||So. Miss
Dec 1, 2018|W|66|57||Florida A&amp;M
Dec 5, 2018|L|60|71||New Orleans
Dec 8, 2018|W|81|60||Tulane
Dec 19, 2018|W|79|67||Alabama A&amp;M
Dec 20, 2018|W|86|47||
Dec 29, 2018|L|82|91||Richmond
Jan 3, 2019|W|79|73||App. St.
Jan 5, 2019|W|84|77 |OT|Coastal Carolina
Jan 10, 2019|L|65|66||Arkansas St.
Jan 12, 2019|L|62|91||Little Rock
Jan 17, 2019|L|66|69||Georgia St.
Jan 19, 2019|L|86 |88|OT|Ga. Southern
Jan 24, 2019|L|84|88||Louisiana
Jan 26, 2019|W|78|72||UL-Monroe
Feb 2, 2019|W|81|75||Troy
Feb 7, 2019|W|70|62||Arkansas St.
Feb 9, 2019|L|68|73||Little Rock
Feb 13, 2019|L|65|75||Ga. Southern
Feb 15, 2019|L|81|90||Georgia St.

Total Points For:|1916
Total Points Against:|1897
Average Points For:|73.6923076923
Average Points Against:|72.9615384615
Average Point Difference:|0.730769230769

Win Percentage:|46.1538461538
