Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|91|74||N. Alabama
Nov 9, 2018|W|92|72||Jax. State
Nov 12, 2018|W|74|60||Kennesaw St.
Nov 14, 2018|W|66|57||Miles Coll.
Nov 18, 2018|W|73|60||Clev. St.
Nov 20, 2018|L|50|68||Ohio St.
Nov 23, 2018|W|74|66||PFW
Nov 25, 2018|W|77|60||SC State
Nov 29, 2018|L|93 |99|OT|Belmont
Dec 9, 2018|W|77|59||Alabama A&amp;M
Dec 13, 2018|W|77|72 |OT|Morehead St.
Dec 17, 2018|W|85|61||Houston Bap.
Dec 19, 2018|L|70|83||Tennessee
Dec 22, 2018|L|75|83||UNC-Green.
Dec 29, 2018|W|96|68||VMI
Jan 3, 2019|L|72 |81|OT|ETSU
Jan 5, 2019|L|69|76||W. Carolina
Jan 12, 2019|L|75|80||Chattanooga
Jan 17, 2019|W|80|77||The Citadel
Jan 19, 2019|L|87|93||Mercer
Jan 24, 2019|L|106 |107|OT|Wofford
Jan 26, 2019|W|75|73||Furman
Jan 31, 2019|L|66|74||ETSU
Feb 2, 2019|W|92|81||W. Carolina
Feb 7, 2019|L|67|75||UNC-Green.
Feb 9, 2019|W|84|77 |OT|VMI
Feb 16, 2019|W|80|76 |OT|Chattanooga

Total Points For:|2123
Total Points Against:|2012
Average Points For:|78.6296296296
Average Points Against:|74.5185185185
Average Point Difference:|4.11111111111

Win Percentage:|59.2592592593
