Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|85|64||
Nov 8, 2018|W|94|56||Southwestern
Nov 11, 2018|L|69|76||Louisiana Tech
Nov 14, 2018|L|59|74||Clemson
Nov 16, 2018|L|64|75||Georgia
Nov 19, 2018|W|75|60||Jackson St.
Nov 20, 2018|L|63|77||ETSU
Nov 28, 2018|L|65|81||C. Michigan
Dec 1, 2018|L|52|79||Little Rock
Dec 8, 2018|L|65|71||Colorado St.
Dec 18, 2018|W|78|57||Alabama St.
Dec 22, 2018|L|79|85||Utah Valley
Dec 31, 2018|W|84|54||Tx. Lutheran
Jan 5, 2019|W|71|68||Abil Christian
Jan 9, 2019|W|78|69||Cent. Arkansas
Jan 12, 2019|W|66|52||Incarnate Word
Jan 16, 2019|W|72|50||Texas A&amp;M-CC
Jan 19, 2019|W|71|65||Houston Bap.
Jan 23, 2019|W|78|64||Northwestern St.
Jan 26, 2019|W|69|59||Lamar
Jan 30, 2019|W|62|52||SE Louisiana
Feb 2, 2019|W|94|72||SF Austin
Feb 6, 2019|W|77|62||McNeese St.
Feb 9, 2019|W|90|85 |OT|Abil Christian
Feb 13, 2019|W|70|69||Texas A&amp;M-CC
Feb 16, 2019|L|72|75||Lamar

Total Points For:|1902
Total Points Against:|1751
Average Points For:|73.1538461538
Average Points Against:|67.3461538462
Average Point Difference:|5.80769230769

Win Percentage:|65.3846153846
