Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|76|42||UC Davis
Nov 10, 2018|W|93|50||Maine
Nov 12, 2018|W|88|54||Sonoma St.
Nov 18, 2018|W|84|52||Arizona St.
Nov 21, 2018|W|61|57||LIU-Brooklyn
Nov 24, 2018|W|84|65||Harvard
Nov 30, 2018|W|76|58||Dartmouth
Dec 1, 2018|L|81|85||SF Austin
Dec 5, 2018|W|79|60||Buffalo
Dec 13, 2018|W|85|63||California
Dec 16, 2018|W|68|54||E. Washington
Dec 19, 2018|W|76|60||CSFullerton
Dec 22, 2018|W|74|65||N. Arizona
Dec 29, 2018|L|71|73||Stanford
Jan 3, 2019|W|76|72||UCSB
Jan 5, 2019|W|72|69||Saint Mary&#039;s
Jan 12, 2019|L|83|96||Pepperdine
Jan 17, 2019|W|53|52||Gonzaga
Jan 19, 2019|W|82|63||Pacific
Jan 24, 2019|W|83|61||BYU
Jan 26, 2019|L|63|67||Portland
Feb 2, 2019|L|80|86||San Diego
Feb 7, 2019|L|62|92||Saint Mary&#039;s
Feb 9, 2019|W|78|72||Gonzaga
Feb 14, 2019|W|89|77||Santa Clara
Feb 16, 2019|W|68|63 |OT|Pepperdine

Total Points For:|1985
Total Points Against:|1708
Average Points For:|76.3461538462
Average Points Against:|65.6923076923
Average Point Difference:|10.6538461538

Win Percentage:|76.9230769231
