Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|83|98||Texas A&amp;M
Nov 9, 2018|L|76|110||Georgia
Nov 11, 2018|W|105|95||Mid Ga St Coll
Nov 13, 2018|W|97|83||Tenn. Tech
Nov 16, 2018|L|77|97||Gardner-Webb
Nov 20, 2018|L|84|104||Kent St.
Nov 24, 2018|W|80|75||Alcorn St.
Nov 25, 2018|L|56|82||Liberty
Nov 27, 2018|L|85|120||Vanderbilt
Dec 1, 2018|L|60|97||Gardner-Webb
Dec 11, 2018|L|72|139||S. Dak. St.
Dec 13, 2018|L|60|101||Wisconsin
Dec 20, 2018|L|80|91||Tenn. Tech
Dec 22, 2018|L|64|110||Iowa
Jan 5, 2019|L|67|73||Coppin St.
Jan 7, 2019|W|88|87 |OT|Morgan St.
Jan 12, 2019|L|64|69||Florida A&amp;M
Jan 19, 2019|L|76|82||Norfolk St.
Jan 26, 2019|W|92|88||SC State
Jan 28, 2019|L|78|82||NC Central
Feb 2, 2019|W|76|73||Delaware St.
Feb 4, 2019|W|68|63||Md.-E. Shore
Feb 9, 2019|W|71|62||Coppin St.
Feb 11, 2019|W|88|85||Morgan St.
Feb 16, 2019|L|74|78||Florida A&amp;M

Total Points For:|1921
Total Points Against:|2244
Average Points For:|76.84
Average Points Against:|89.76
Average Point Difference:|-12.92

Win Percentage:|36.0
