Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|65|52||SC Upstate
Nov 9, 2018|L|81|83||Stony Brook
Nov 13, 2018|W|81|64||Norfolk St.
Nov 17, 2018|L|67|76||Providence
Nov 18, 2018|W|90|55||George Wash.
Nov 26, 2018|L|61|81||Wofford
Nov 30, 2018|W|85|79||Coastal Carolina
Dec 5, 2018|L|64|73||Wyoming
Dec 8, 2018|L|78|89||Michigan
Dec 19, 2018|L|52|69||Virginia
Dec 22, 2018|L|68|78||Clemson
Dec 31, 2018|W|97|46||
Jan 5, 2019|W|71|69||Florida
Jan 8, 2019|W|87|82 |OT|Miss. State
Jan 13, 2019|W|85|75||Missouri
Jan 16, 2019|W|74|71||Missouri
Jan 19, 2019|L|67|89||Vanderbilt
Jan 22, 2019|W|80|77||LSU
Jan 26, 2019|L|70|74||Auburn
Jan 29, 2019|L|70|92||Oklahoma St.
Feb 2, 2019|W|86|80||Tennessee
Feb 5, 2019|L|48|76||Georgia
Feb 9, 2019|W|77|65||Kentucky
Feb 13, 2019|L|73|85||Arkansas
Feb 16, 2019|W|84|77||Tennessee

Total Points For:|1861
Total Points Against:|1857
Average Points For:|74.44
Average Points Against:|74.28
Average Point Difference:|0.16

Win Percentage:|52.0
