Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|99|51||
Nov 10, 2018|L|52|74||Tulsa
Nov 13, 2018|L|72|89||Charleston So.
Nov 16, 2018|L|69|84||Clev. St.
Nov 18, 2018|L|61|89||Ohio St.
Nov 20, 2018|L|68|72||PFW
Nov 25, 2018|L|60|77||Samford
Nov 28, 2018|L|70|83||Charleston
Dec 1, 2018|L|69|71||Jacksonville
Dec 6, 2018|W|90|69||
Dec 9, 2018|L|44|81||Virginia Tech
Dec 11, 2018|L|55|79||Liberty
Dec 15, 2018|L|84|88||SC Upstate
Dec 20, 2018|L|55|79||Miami (Ohio)
Dec 22, 2018|L|56|77||Cincinnati
Jan 2, 2019|L|70|72||Presbyterian
Jan 5, 2019|L|77 |80|OT|NC A&amp;T
Jan 12, 2019|W|72|68||Morgan St.
Jan 14, 2019|W|70|68||Coppin St.
Jan 19, 2019|L|66 |71|OT|Howard
Jan 21, 2019|L|69|74||Norfolk St.
Jan 26, 2019|L|88|92||Savannah St.
Feb 2, 2019|L|61|63||Md.-E. Shore
Feb 4, 2019|L|68|70||Delaware St.
Feb 9, 2019|W|85|81||Morgan St.
Feb 11, 2019|W|85|84||Coppin St.
Feb 16, 2019|L|73|98||Bethune-Cook.

Total Points For:|1888
Total Points Against:|2084
Average Points For:|69.9259259259
Average Points Against:|77.1851851852
Average Point Difference:|-7.25925925926

Win Percentage:|22.2222222222
