Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|83|58||York
Nov 12, 2018|W|90|74||N. Arizona
Nov 16, 2018|L|56|60||High Point
Nov 18, 2018|L|62|65||Air Force
Nov 19, 2018|W|58|52||UMBC
Nov 27, 2018|L|57|63||Baylor
Dec 1, 2018|W|68|56||Cal-Baker.
Dec 4, 2018|L|58|82||Colorado
Dec 8, 2018|L|63|65||UMKC
Dec 12, 2018|W|78|52||
Dec 16, 2018|W|68|63||Colorado St.
Dec 18, 2018|L|53|89||Kansas
Dec 21, 2018|L|60|66||So. Miss
Dec 29, 2018|L|65|71||N. Dakota St.
Jan 2, 2019|W|71|70||N. Dakota St.
Jan 6, 2019|L|61|79||Denver
Jan 13, 2019|W|87|73||S. Dak. St.
Jan 17, 2019|L|74|77||PFW
Jan 20, 2019|L|68|75||Oral Roberts
Jan 23, 2019|W|70|56||Neb.-Omaha
Jan 26, 2019|L|59|65||North Dakota
Jan 30, 2019|L|71|102||W. Illinois
Feb 7, 2019|L|102 |107|OT|PFW
Feb 10, 2019|L|72|86||Neb.-Omaha
Feb 16, 2019|W|80|67||Oral Roberts

Total Points For:|1734
Total Points Against:|1773
Average Points For:|69.36
Average Points Against:|70.92
Average Point Difference:|-1.56

Win Percentage:|40.0
