Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|79|74||Grand Canyon
Nov 8, 2018|W|78|61||Alabama St.
Nov 10, 2018|W|86|63||Bemidji St.
Nov 16, 2018|L|78|84||FGCU
Nov 19, 2018|L|80|84||Tulane
Nov 20, 2018|W|99|79||UT-San Antonio
Nov 21, 2018|W|78|65||Colorado St.
Nov 28, 2018|W|75|47||UMKC
Dec 1, 2018|W|82|50||Northern Iowa
Dec 4, 2018|L|80|88||Memphis
Dec 7, 2018|W|101|92||Southern U.
Dec 11, 2018|W|139|72||Savannah St.
Dec 15, 2018|L|68|72||Nevada
Dec 18, 2018|W|74|64||E. Washington
Dec 22, 2018|L|74|85||Montana
Dec 28, 2018|W|100|58||W. Illinois
Jan 3, 2019|L|88|104||PFW
Jan 6, 2019|W|79|61||South Dakota
Jan 10, 2019|W|78|66||Denver
Jan 12, 2019|W|84|65||Oral Roberts
Jan 16, 2019|W|78|74||North Dakota
Jan 24, 2019|W|87|69||N. Dakota St.
Jan 26, 2019|W|83|73||Neb.-Omaha
Jan 31, 2019|W|86|80||Oral Roberts
Feb 3, 2019|W|92|82||Denver
Feb 9, 2019|W|80|55||North Dakota
Feb 14, 2019|L|84|85||Neb.-Omaha
Feb 16, 2019|W|78|77||N. Dakota St.

Total Points For:|2368
Total Points Against:|2029
Average Points For:|84.5714285714
Average Points Against:|72.4642857143
Average Point Difference:|12.1071428571

Win Percentage:|75.0
