Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|76|60||Ark.-Pine Bluff
Nov 14, 2018|W|103|64||Texas So.
Nov 19, 2018|L|64|90||Duke
Nov 20, 2018|W|79|74||Xavier
Nov 21, 2018|L|57|87||Iowa St.
Nov 27, 2018|W|87|44||Jackson St.
Dec 1, 2018|W|75|65||Illinois St.
Dec 5, 2018|L|61|73||San Diego
Dec 8, 2018|L|83|89||California
Dec 12, 2018|W|99|46||CS-Dominguez
Dec 22, 2018|W|90|81||BYU
Dec 29, 2018|L|61|82||Brown
Jan 1, 2019|W|65|60||CSNorthridge 
Jan 5, 2019|L|64|88||Boise St.
Jan 8, 2019|W|84|54||Wyoming
Jan 12, 2019|L|48|62||Air Force
Jan 15, 2019|W|97|77||New Mexico
Jan 22, 2019|L|62|66||Fresno St.
Jan 26, 2019|W|94|77||UNLV
Jan 30, 2019|W|66|51||Air Force
Feb 2, 2019|W|67|56||San Jose St.
Feb 5, 2019|L|70|83||New Mexico
Feb 9, 2019|W|68|63||Utah St.
Feb 12, 2019|W|71|60||Colorado St.
Feb 16, 2019|W|71|65||Boise St.

Total Points For:|1862
Total Points Against:|1717
Average Points For:|74.48
Average Points Against:|68.68
Average Point Difference:|5.8

Win Percentage:|64.0
