Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|74|96||Stanford
Nov 8, 2018|W|95|67||
Nov 11, 2018|W|82|59||Bryant
Nov 14, 2018|W|78|69||Washington St.
Nov 18, 2018|L|70|73||So. Utah
Nov 23, 2018|W|82|63||Denver
Nov 24, 2018|W|83|80||Fairfield
Nov 25, 2018|W|70|50||Longwood
Nov 28, 2018|W|107|72||
Dec 1, 2018|W|88|68||E. Washington
Dec 6, 2018|W|90|71||Neb.-Omaha
Dec 9, 2018|L|62|70||Washington
Dec 17, 2018|W|67|56||Portland
Dec 20, 2018|W|102|64||Prairie View
Dec 29, 2018|W|82|73||California
Jan 3, 2019|L|71|83||Cal-Baker.
Jan 5, 2019|L|57|71||Grand Canyon
Jan 12, 2019|L|78|88||Utah Valley
Jan 17, 2019|L|60|87||N. Mex. St.
Jan 19, 2019|L|62|67||UT-Rio Grande Valley
Jan 24, 2019|W|75|47||Chicago St.
Jan 26, 2019|L|54|63||UMKC
Feb 2, 2019|L|64|75||Cal Baptist
Feb 14, 2019|L|44|59||Utah Valley
Feb 16, 2019|L|53|59||UT-Rio Grande Valley

Total Points For:|1850
Total Points Against:|1730
Average Points For:|74.0
Average Points Against:|69.2
Average Point Difference:|4.8

Win Percentage:|52.0
