Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|63|94||LSU
Nov 9, 2018|W|78|57||
Nov 11, 2018|L|35|87||Nebraska
Nov 13, 2018|L|40|59||Texas Tech
Nov 17, 2018|W|69|57||Stetson
Nov 20, 2018|L|59|69||Miss Valley St.
Nov 26, 2018|W|86|71||
Dec 1, 2018|W|62|61||Tulane
Dec 12, 2018|L|47|69||Ole Miss
Dec 17, 2018|L|52|73||Cal Baptist
Dec 19, 2018|L|68|69||Grambling
Dec 22, 2018|L|60|63||Bradley
Dec 29, 2018|L|72|73||Louisiana
Jan 2, 2019|L|60|65||SF Austin
Jan 5, 2019|L|71|73||Cent. Arkansas
Jan 12, 2019|L|72|75||Abil Christian
Jan 16, 2019|W|76|69||Lamar
Jan 19, 2019|W|74|71||McNeese St.
Jan 23, 2019|W|70|67||Houston Bap.
Jan 26, 2019|W|69|53||Northwestern St.
Jan 30, 2019|L|52|62||Sam Houston
Feb 2, 2019|W|91|70||Nicholls St.
Feb 6, 2019|W|64|58||Texas A&amp;M-CC
Feb 9, 2019|W|75|67||Cent. Arkansas
Feb 13, 2019|W|70|64||Incarnate Word
Feb 16, 2019|W|88|52||McNeese St.

Total Points For:|1723
Total Points Against:|1748
Average Points For:|66.2692307692
Average Points Against:|67.2307692308
Average Point Difference:|-0.961538461538

Win Percentage:|50.0
