Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|65|75||Saint Louis
Nov 10, 2018|L|57|68||Bradley
Nov 12, 2018|W|102|66||Quincy
Nov 16, 2018|W|77|71||Jacksonville
Nov 17, 2018|W|63|42||Chattanooga
Nov 19, 2018|L|58|79||South Alabama
Nov 27, 2018|W|72|69||Missouri Sci.-Tech.
Dec 1, 2018|L|63|70||W. Illinois
Dec 4, 2018|W|77|57||Miss Valley St.
Dec 8, 2018|L|73|83||S. Illinois
Dec 15, 2018|L|74|86||The Citadel
Dec 17, 2018|L|68|85||Florida St.
Dec 21, 2018|L|68|70||Abil Christian
Jan 3, 2019|L|88|94||SIUE
Jan 5, 2019|W|74|69 |OT|UT Martin
Jan 10, 2019|L|60|78||Austin Peay
Jan 12, 2019|L|67|85||Murray St.
Jan 17, 2019|L|69|73||Morehead St.
Jan 19, 2019|L|83|85||E. Kentucky
Jan 24, 2019|L|86 |87|OT|SIUE
Jan 26, 2019|W|64|59||E. Illinois
Jan 31, 2019|L|71|97||Belmont
Feb 2, 2019|L|50|79||Tennessee St.
Feb 7, 2019|W|71|66 |OT|Tenn. Tech
Feb 9, 2019|L|64|81||Jax. State
Feb 14, 2019|L|72|81||UT Martin
Feb 16, 2019|W|88|79||E. Illinois

Total Points For:|1924
Total Points Against:|2034
Average Points For:|71.2592592593
Average Points Against:|75.3333333333
Average Point Difference:|-4.07407407407

Win Percentage:|33.3333333333
