Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|89|49||Wagner
Nov 14, 2018|L|57|80||Nebraska
Nov 17, 2018|L|64|66||Saint Louis
Nov 22, 2018|W|82|75||Grand Canyon
Nov 23, 2018|W|64|54||Hawaii
Nov 25, 2018|W|83|81||Miami (Fla.)
Dec 1, 2018|L|65|70||Louisville
Dec 4, 2018|W|77|57||New Hamp.
Dec 8, 2018|W|84|83 |OT|Kentucky
Dec 15, 2018|W|72|66||Rutgers
Dec 19, 2018|W|90|76||Sacred Heart
Dec 22, 2018|W|78|74||Maryland
Dec 29, 2018|W|76|74||St. John&#039;s
Jan 2, 2019|W|80|70||Xavier
Jan 6, 2019|L|74|75||DePaul
Jan 9, 2019|W|76|75||Butler
Jan 12, 2019|L|66|70||Marquette
Jan 15, 2019|L|63|72||Providence
Jan 19, 2019|L|93|97||DePaul
Jan 27, 2019|L|52|80||Villanova
Jan 30, 2019|W|65|63||Providence
Feb 2, 2019|L|68|70||Butler
Feb 9, 2019|W|63|58||Creighton
Feb 13, 2019|W|90|75||Georgetown
Feb 17, 2019|W|81|75||Creighton

Total Points For:|1852
Total Points Against:|1785
Average Points For:|74.08
Average Points Against:|71.4
Average Point Difference:|2.68

Win Percentage:|64.0
