Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|83|71||Tx. Wesleyan
Nov 8, 2018|W|68|67||
Nov 13, 2018|L|58|96||Miami (Fla.)
Nov 20, 2018|W|64|60||Marist
Nov 25, 2018|W|73|60||St. Edwards
Nov 30, 2018|L|58|76||San Fran.
Dec 1, 2018|W|66|51||Milwaukee
Dec 7, 2018|L|93 |96|OT|Louisiana Tech
Dec 15, 2018|L|58|74||UL-Monroe
Dec 18, 2018|W|59|58||Baylor
Dec 21, 2018|W|97|47||
Dec 30, 2018|L|69|79||Alabama
Jan 2, 2019|W|65|60||SE Louisiana
Jan 9, 2019|L|73|78||Nicholls St.
Jan 12, 2019|L|59|61||Northwestern St.
Jan 16, 2019|L|61|68||New Orleans
Jan 19, 2019|W|74|71||Incarnate Word
Jan 23, 2019|W|61|60||Abil Christian
Jan 30, 2019|W|105|99 |OT|Cent. Arkansas
Feb 2, 2019|L|72|94||Sam Houston
Feb 6, 2019|W|79|77||Houston Bap.
Feb 9, 2019|L|67|82||Lamar
Feb 13, 2019|W|67|57||McNeese St.
Feb 16, 2019|L|72|87||Northwestern St.

Total Points For:|1701
Total Points Against:|1729
Average Points For:|70.875
Average Points Against:|72.0416666667
Average Point Difference:|-1.16666666667

Win Percentage:|54.1666666667
