Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|80|63||Alabama A&amp;M
Nov 12, 2018|W|74|70 |OT|Austin Peay
Nov 16, 2018|W|73|46||Ohio
Nov 18, 2018|L|73 |76|OT|Georgetown
Nov 21, 2018|W|69|59||Florida A&amp;M
Nov 24, 2018|L|81|84||The Citadel
Nov 28, 2018|W|75|71||Stetson
Nov 30, 2018|W|73|63||Colgate
Dec 15, 2018|W|76|69||Charlotte
Dec 18, 2018|W|82|73||App. St.
Dec 21, 2018|W|83|44||FIU
Dec 29, 2018|W|60|54||Alcorn St.
Jan 2, 2019|W|76|68||F. Dickinson
Jan 5, 2019|L|75|78||Connecticut
Jan 9, 2019|W|66|48||Tulsa
Jan 12, 2019|L|80 |82|OT|Tulane
Jan 15, 2019|L|74|82||Temple
Jan 19, 2019|L|60|69||Cincinnati
Jan 22, 2019|W|54|41||Houston
Jan 26, 2019|W|77|57||Wichita St.
Feb 2, 2019|W|84|78||East Carolina
Feb 7, 2019|W|67|66||Memphis
Feb 10, 2019|W|72|68 |OT|SMU
Feb 13, 2019|L|65|78||East Carolina
Feb 16, 2019|L|69 |70|OT|UCF

Total Points For:|1818
Total Points Against:|1657
Average Points For:|72.72
Average Points Against:|66.28
Average Point Difference:|6.44

Win Percentage:|68.0
