Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|67|82||Buffalo
Nov 9, 2018|W|80|62||Morgan St.
Nov 16, 2018|L|58|95||UCLA
Nov 19, 2018|L|76|101||North Carolina
Nov 24, 2018|L|37|75||Virginia Tech
Nov 27, 2018|W|113|59||
Nov 30, 2018|W|79|75||Niagara
Dec 4, 2018|L|82|95||American
Dec 9, 2018|L|83|88||Delaware
Dec 18, 2018|W|96|63||Franciscan
Dec 22, 2018|L|76|88||Lehigh
Jan 3, 2019|W|80|69||Mt St Mary&#039;s
Jan 5, 2019|L|61|79||F. Dickinson
Jan 10, 2019|W|74|67||LIU-Brooklyn
Jan 12, 2019|L|68|72||St. Fran.-NY
Jan 19, 2019|W|80|69||CCSU
Jan 21, 2019|L|67|76||Bryant
Jan 24, 2019|L|79|83||Wagner
Jan 26, 2019|W|79|78||Sacred Heart
Jan 31, 2019|W|76|73||Robert Morris
Feb 2, 2019|W|72|63||Mt St Mary&#039;s
Feb 7, 2019|W|90|85||CCSU
Feb 9, 2019|W|84|75||Bryant
Feb 14, 2019|W|87|62||F. Dickinson
Feb 16, 2019|W|72|69||Robert Morris

Total Points For:|1916
Total Points Against:|1903
Average Points For:|76.64
Average Points Against:|76.12
Average Point Difference:|0.52

Win Percentage:|56.0
