Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|67|77||Providence
Nov 8, 2018|W|69|61||George Wash.
Nov 16, 2018|W|61|58||Norfolk St.
Nov 18, 2018|L|45|57||Holy Cross
Nov 21, 2018|L|69|80||Lehigh
Nov 24, 2018|L|79|84||Colgate
Nov 28, 2018|L|86|94||Hofstra
Dec 1, 2018|W|67|64||Harvard
Dec 5, 2018|L|40|82||St. Bona.
Dec 8, 2018|W|74|71||Robert Morris
Dec 18, 2018|L|58|83||Charleston
Dec 22, 2018|L|57|60||Holy Cross
Dec 29, 2018|W|75|54||Cal Poly
Jan 3, 2019|L|60|65||St. Peter&#039;s
Jan 5, 2019|L|66|70||Canisius
Jan 11, 2019|W|71|66||Marist
Jan 14, 2019|L|60 |63|OT|Monmouth
Jan 17, 2019|W|66|57||Niagara
Jan 24, 2019|W|57|48||Fairfield
Jan 26, 2019|W|53|40||Manhattan
Jan 31, 2019|L|55|66||Monmouth
Feb 2, 2019|W|56|54||Iona
Feb 4, 2019|W|61|50||Fairfield
Feb 8, 2019|W|51|49||Manhattan
Feb 10, 2019|W|59|57||Rider
Feb 13, 2019|L|52|57||Iona
Feb 17, 2019|L|100 |107|OT|Quinnipiac

Total Points For:|1714
Total Points Against:|1774
Average Points For:|63.4814814815
Average Points Against:|65.7037037037
Average Point Difference:|-2.22222222222

Win Percentage:|48.1481481481
