Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|59|71||Kentucky
Nov 12, 2018|L|53|62||Buffalo
Nov 17, 2018|W|78|48||Ark.-Pine Bluff
Nov 19, 2018|W|83|69||Howard
Nov 22, 2018|L|62|84||Massachusetts
Nov 24, 2018|W|79|69||Tulsa
Nov 27, 2018|W|82|67||Colorado St.
Dec 1, 2018|W|82|61||SIUE
Dec 5, 2018|W|61|56||Saint Louis
Dec 8, 2018|W|83|73||SE Missouri St.
Dec 12, 2018|L|52|80||Murray St.
Dec 15, 2018|L|65|73||Buffalo
Dec 22, 2018|L|71|79||Winthrop
Jan 2, 2019|W|75|70||Missouri St.
Jan 5, 2019|W|58|51||Northern Iowa
Jan 8, 2019|L|70|82||Drake
Jan 12, 2019|L|61|65||Valparaiso
Jan 15, 2019|L|58|59||Illinois St.
Jan 20, 2019|L|54|57||Bradley
Jan 23, 2019|W|70|62||Northern Iowa
Jan 27, 2019|L|50|75||Loyola-Chi.
Jan 30, 2019|W|88|73||Indiana St.
Feb 2, 2019|W|72|68||Bradley
Feb 6, 2019|L|59|65||Missouri St.
Feb 9, 2019|W|78|73||Evansville
Feb 12, 2019|L|69|72||Drake
Feb 16, 2019|W|79|57||Indiana St.

Total Points For:|1851
Total Points Against:|1821
Average Points For:|68.5555555556
Average Points Against:|67.4444444444
Average Point Difference:|1.11111111111

Win Percentage:|51.8518518519
