Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|65|74||Pacific
Nov 10, 2018|L|82|94||Winthrop
Nov 21, 2018|L|70 |75|OT|Valparaiso
Nov 25, 2018|W|80|68||Incarnate Word
Nov 28, 2018|L|58|83||W. Illinois
Dec 1, 2018|L|61|82||S. Illinois
Dec 8, 2018|W|92|87||
Dec 17, 2018|L|66|79||Drake
Dec 19, 2018|L|73|89||Washington St.
Dec 22, 2018|L|79|85||CSNorthridge 
Dec 23, 2018|W|82|72||N. Colorado
Dec 30, 2018|W|79|66||Missouri Sci.-Tech.
Jan 3, 2019|W|94|88||SE Missouri St.
Jan 5, 2019|L|81 |84|OT|E. Illinois
Jan 10, 2019|L|69 |78|OT|Tenn. Tech
Jan 12, 2019|L|54|90||Jax. State
Jan 17, 2019|L|71|79||Austin Peay
Jan 19, 2019|L|72|82||Murray St.
Jan 24, 2019|W|87|86 |OT|SE Missouri St.
Jan 26, 2019|L|69|85||UT Martin
Jan 31, 2019|W|83|76||Morehead St.
Feb 2, 2019|W|88|82 |OT|E. Kentucky
Feb 7, 2019|L|45|80||Austin Peay
Feb 9, 2019|L|55|86||Murray St.
Feb 14, 2019|L|65|79||E. Illinois
Feb 16, 2019|L|69|73||UT Martin

Total Points For:|1889
Total Points Against:|2102
Average Points For:|72.6538461538
Average Points Against:|80.8461538462
Average Point Difference:|-8.19230769231

Win Percentage:|30.7692307692
