Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|89|72||
Nov 10, 2018|L|59|66||So. Utah
Nov 15, 2018|L|77|85||Weber St.
Nov 17, 2018|L|72|73||Cal-Baker.
Nov 18, 2018|L|74|76||C. Michigan
Nov 24, 2018|L|63|71||Santa Clara
Nov 28, 2018|L|57|86||Indiana St.
Dec 6, 2018|W|67|65||Bethune-Cook.
Dec 15, 2018|W|79|74||N. Arizona
Dec 18, 2018|L|73|78||Stanford
Dec 21, 2018|L|80|88||California
Dec 29, 2018|L|45|75||Saint Mary&#039;s
Jan 2, 2019|L|53|73||Fresno St.
Jan 9, 2019|L|53|92||Nevada
Jan 12, 2019|L|64|87||Boise St.
Jan 16, 2019|L|63|81||Utah St.
Jan 19, 2019|L|56|94||UNLV
Jan 23, 2019|L|46|59||Wyoming
Jan 26, 2019|L|71 |73|OT|Air Force
Jan 30, 2019|L|73|103||Utah St.
Feb 2, 2019|L|56|67||San Diego St
Feb 9, 2019|L|57|105||Boise St.
Feb 13, 2019|L|60|92||New Mexico
Feb 16, 2019|L|64|71||UNLV

Total Points For:|1551
Total Points Against:|1906
Average Points For:|64.625
Average Points Against:|79.4166666667
Average Point Difference:|-14.7916666667

Win Percentage:|12.5
