Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|69|58||Northwestern St.
Nov 11, 2018|L|64|74||So. Miss
Nov 14, 2018|W|98|65||W. Carolina
Nov 17, 2018|L|73|79||Lipscomb
Nov 20, 2018|L|62|75||Bradley
Nov 21, 2018|W|77|76||Wright St.
Nov 27, 2018|W|79|65||Lamar
Nov 29, 2018|W|91|59||McNeese St.
Dec 2, 2018|W|79|67||Oral Roberts
Dec 5, 2018|L|59|67||TCU
Dec 15, 2018|W|81|73||Georgetown
Dec 22, 2018|W|81|53||Cornell
Jan 2, 2019|W|82|54||East Carolina
Jan 4, 2019|W|74|65||Tulane
Jan 10, 2019|L|64|76||Connecticut
Jan 12, 2019|W|77|57||Tulsa
Jan 16, 2019|L|58|69||Houston
Jan 19, 2019|L|61|83||Memphis
Jan 26, 2019|W|85|75||Tulane
Jan 30, 2019|L|83|85||Wichita St.
Feb 2, 2019|L|68|73||Cincinnati
Feb 7, 2019|L|66|67||South Florida
Feb 10, 2019|L|65|71||UCF
Feb 13, 2019|L|74|82||Temple

Total Points For:|1770
Total Points Against:|1668
Average Points For:|73.75
Average Points Against:|69.5
Average Point Difference:|4.25

Win Percentage:|50.0
