Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|L|64|81||Prairie View
Nov 15, 2018|L|49|61||UC Irvine
Nov 18, 2018|L|68|82||Washington
Nov 20, 2018|L|66|80||Minnesota
Nov 24, 2018|W|71|63||San Jose St.
Nov 26, 2018|L|66|78||California
Nov 29, 2018|W|81|70||Jackson St.
Dec 1, 2018|W|81|74||N. Arizona
Dec 7, 2018|L|66|68||Idaho St.
Dec 9, 2018|W|82|54||Sonoma St.
Dec 13, 2018|W|82|54||Miss Valley St.
Dec 18, 2018|W|102|92 |OT|USC
Dec 21, 2018|W|77|56||Idaho
Dec 29, 2018|W|79|71||Washington St.
Jan 3, 2019|W|68|56||San Diego
Jan 5, 2019|L|48|91||Gonzaga
Jan 10, 2019|W|67|64||Pepperdine
Jan 12, 2019|L|74|80||BYU
Jan 17, 2019|L|55|75||Saint Mary&#039;s
Jan 19, 2019|W|69|57||Pacific
Jan 24, 2019|L|39|98||Gonzaga
Jan 26, 2019|L|61|69||LMU
Feb 2, 2019|W|69|63 |OT|Portland
Feb 7, 2019|W|79|71||Pepperdine
Feb 9, 2019|L|72|78||San Fran.
Feb 14, 2019|L|55|66||Saint Mary&#039;s
Feb 16, 2019|W|64|59||Pacific

Total Points For:|1854
Total Points Against:|1911
Average Points For:|68.6666666667
Average Points Against:|70.7777777778
Average Point Difference:|-2.11111111111

Win Percentage:|51.8518518519
