Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|85 |88|OT|Bucknell
Nov 10, 2018|W|67|36||Jackson St.
Nov 12, 2018|L|72|80||Niagara
Nov 19, 2018|L|65|75||Georgia St.
Nov 20, 2018|L|52|72||Boise St.
Nov 21, 2018|L|49|61||Akron
Nov 28, 2018|W|70|55||Canisius
Dec 1, 2018|W|90|61||Delaware St.
Dec 5, 2018|W|82|40||Siena
Dec 8, 2018|L|62|80||Buffalo
Dec 18, 2018|L|76 |83|OT|Vermont
Dec 21, 2018|L|59|64||Northeastern
Dec 29, 2018|L|47|81||Syracuse
Jan 6, 2019|L|53|68||George Mason
Jan 9, 2019|W|73|47||Saint Joseph&#039;s
Jan 12, 2019|W|71|64||Fordham
Jan 16, 2019|L|63|75||Rhode Island
Jan 19, 2019|L|86 |89|OT|Dayton
Jan 23, 2019|W|65|51||Massachusetts
Jan 26, 2019|W|66|57||Richmond
Feb 1, 2019|L|66|75||Davidson
Feb 6, 2019|W|51|49||Duquesne
Feb 9, 2019|L|55|85||VCU
Feb 12, 2019|W|76|51||Saint Joseph&#039;s
Feb 17, 2019|W|79|56||George Mason

Total Points For:|1680
Total Points Against:|1643
Average Points For:|67.2
Average Points Against:|65.72
Average Point Difference:|1.48

Win Percentage:|44.0
