Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|116|66||
Nov 11, 2018|L|70|83||Missouri St.
Nov 14, 2018|L|59|95||USC
Nov 17, 2018|L|57|69||SE Louisiana
Nov 19, 2018|L|72|81||Robert Morris
Nov 23, 2018|L|79 |87|OT|VMI
Nov 26, 2018|L|74|84||Bethune-Cook.
Nov 28, 2018|L|71|75||South Florida
Dec 1, 2018|L|49|113||Duke
Dec 5, 2018|W|68|64||W. Illinois
Dec 8, 2018|L|75|79||Marist
Dec 16, 2018|L|65|90||UCF
Dec 18, 2018|W|80|74||UNC-Ash.
Dec 21, 2018|L|63|77||Longwood
Jan 3, 2019|W|72|65||
Jan 9, 2019|L|53|71||Liberty
Jan 12, 2019|L|71|95||Lipscomb
Jan 16, 2019|L|77|87||North Florida
Jan 19, 2019|L|62|63||N. Alabama
Jan 21, 2019|L|65|87||FGCU
Jan 24, 2019|L|59|82||N.J. Tech
Jan 27, 2019|L|65|88||Lipscomb
Jan 30, 2019|L|57|72||Jacksonville
Feb 2, 2019|W|92|75||Kennesaw St.
Feb 5, 2019|L|54|57||Liberty
Feb 13, 2019|L|70|93||Jacksonville
Feb 16, 2019|W|67|55||FGCU

Total Points For:|1862
Total Points Against:|2127
Average Points For:|68.962962963
Average Points Against:|78.7777777778
Average Point Difference:|-9.81481481481

Win Percentage:|22.2222222222
