Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|92|42||Medgar Evers
Nov 11, 2018|L|69|74||Boston College
Nov 14, 2018|L|66|88||Richmond
Nov 18, 2018|W|84|72||Lafayette
Nov 23, 2018|L|48|68||IUPUI
Nov 24, 2018|W|75|63||Niagara
Nov 28, 2018|W|90|86||Presbyterian
Dec 3, 2018|W|104|75||
Dec 8, 2018|L|60|82||N.J. Tech
Dec 11, 2018|W|75|69||UMass Lowell
Dec 15, 2018|W|54|53||St. Peter&#039;s
Dec 19, 2018|L|52|86||St. John&#039;s
Dec 23, 2018|W|72|56||Manhattan
Jan 3, 2019|L|66|76||Bryant
Jan 5, 2019|W|66|59||Wagner
Jan 10, 2019|L|49|52||Robert Morris
Jan 12, 2019|W|72|68||St. Fran.-Pa.
Jan 19, 2019|W|92|85||Sacred Heart
Jan 21, 2019|W|79|70||LIU-Brooklyn
Jan 24, 2019|L|58|60||F. Dickinson
Jan 26, 2019|W|74|67||Mt St Mary&#039;s
Jan 31, 2019|L|72|78||CCSU
Feb 2, 2019|L|62|71||Sacred Heart
Feb 7, 2019|W|51|44||Wagner
Feb 9, 2019|L|73|84||F. Dickinson
Feb 14, 2019|W|83|76||LIU-Brooklyn
Feb 16, 2019|W|90|79||CCSU

Total Points For:|1928
Total Points Against:|1883
Average Points For:|71.4074074074
Average Points Against:|69.7407407407
Average Point Difference:|1.66666666667

Win Percentage:|59.2592592593
