Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|62|82||Alabama
Nov 10, 2018|L|53|80||Baylor
Nov 13, 2018|L|54|104||Louisville
Nov 17, 2018|L|65|69||George Mason
Nov 23, 2018|L|70|85||W. Michigan
Nov 24, 2018|L|71|83||NC Central
Nov 27, 2018|W|74|65||
Dec 1, 2018|L|78|88||Louisiana
Dec 7, 2018|L|92|101||S. Dak. St.
Dec 9, 2018|L|65|101||Iowa St.
Dec 15, 2018|L|67|69||Northwestern St.
Dec 19, 2018|L|76|79||Cal Baptist
Dec 28, 2018|L|41|84||Marquette
Jan 5, 2019|L|73|82||Prairie View
Jan 7, 2019|L|67|77||Texas So.
Jan 12, 2019|L|63|69||Grambling
Jan 14, 2019|L|58|64||Jackson St.
Jan 19, 2019|W|69|67 |OT|Ark.-Pine Bluff
Jan 21, 2019|W|80|56||Miss Valley St.
Jan 26, 2019|L|62|68||Alabama A&amp;M
Jan 28, 2019|L|65|69||Alabama St.
Feb 2, 2019|L|64|76||Alcorn St.
Feb 9, 2019|L|40|59||Grambling
Feb 11, 2019|W|76|67||Jackson St.
Feb 16, 2019|L|45|61||Ark.-Pine Bluff

Total Points For:|1630
Total Points Against:|1905
Average Points For:|65.2
Average Points Against:|76.2
Average Point Difference:|-11.0

Win Percentage:|16.0
