Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|79|64||Old Dominion
Nov 12, 2018|W|78|63||Monmouth
Nov 15, 2018|W|89|69||Wake Forest
Nov 16, 2018|L|57|77||UCF
Nov 18, 2018|L|90|97||West Virginia
Nov 24, 2018|L|85|87||William &amp; Mary
Nov 28, 2018|W|89|75||Ill.-Chicago
Dec 1, 2018|L|70|77||Temple
Dec 5, 2018|W|92|82||Princeton
Dec 8, 2018|L|58|70||Villanova
Dec 22, 2018|W|45|42||Loyola-Chi.
Dec 29, 2018|W|59|57||Wagner
Jan 3, 2019|L|60|85||George Mason
Jan 6, 2019|L|56|70||George Wash.
Jan 9, 2019|L|47|73||St. Bona.
Jan 12, 2019|L|84|85||Duquesne
Jan 15, 2019|W|61|60||Davidson
Jan 18, 2019|L|57|68||Saint Louis
Jan 23, 2019|W|74|70||Richmond
Jan 26, 2019|L|70|78||Penn
Jan 29, 2019|L|64|75||Dayton
Feb 2, 2019|W|64|62||Massachusetts
Feb 5, 2019|L|69|83||La Salle
Feb 8, 2019|W|91|61||Saint Louis
Feb 12, 2019|L|51|76||St. Bona.
Feb 15, 2019|L|72|80||Davidson

Total Points For:|1811
Total Points Against:|1886
Average Points For:|69.6538461538
Average Points Against:|72.5384615385
Average Point Difference:|-2.88461538462

Win Percentage:|42.3076923077
