Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|76|55||Loyola-Md.
Nov 9, 2018|W|84|80||Bowling Green
Nov 16, 2018|W|84|65||Rutgers
Nov 19, 2018|W|82|79||California
Nov 20, 2018|W|87|86 |OT|VCU
Nov 27, 2018|W|85|64||Md.-E. Shore
Dec 1, 2018|W|76|73||Georgia Tech
Dec 5, 2018|W|85|71||Mt St Mary&#039;s
Dec 9, 2018|W|89|74||Princeton
Dec 16, 2018|W|73|58||Wagner
Dec 19, 2018|W|86|52||St. Fran.-NY
Dec 22, 2018|W|104|82||Sacred Heart
Dec 29, 2018|L|74|76||Seton Hall
Jan 1, 2019|W|89|69||Marquette
Jan 5, 2019|W|97|94 |OT|Georgetown
Jan 8, 2019|L|71|76||Villanova
Jan 12, 2019|L|71|79||DePaul
Jan 16, 2019|W|81|66||Creighton
Jan 19, 2019|L|71|80||Butler
Jan 27, 2019|L|78|89||Georgetown
Jan 30, 2019|W|83|67||Creighton
Feb 2, 2019|L|61|91||Duke
Feb 5, 2019|W|70|69||Marquette
Feb 9, 2019|L|56|70||Providence
Feb 12, 2019|W|77|73 |OT|Butler
Feb 17, 2019|W|71|65||Villanova

Total Points For:|2061
Total Points Against:|1903
Average Points For:|79.2692307692
Average Points Against:|73.1923076923
Average Point Difference:|6.07692307692

Win Percentage:|73.0769230769
