Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|77|74 |OT|George Wash.
Nov 9, 2018|W|83|81||South Carolina
Nov 16, 2018|L|70|84||Holy Cross
Nov 17, 2018|W|72|65||Norfolk St.
Nov 21, 2018|W|97|61||Molloy
Nov 24, 2018|W|68|58||Rhode Island
Nov 27, 2018|W|79|73||Norfolk St.
Dec 1, 2018|W|71|61||Quinnipiac
Dec 5, 2018|W|69|62||Manhattan
Dec 8, 2018|L|69|71||Brown
Dec 12, 2018|W|83|79||LIU-Brooklyn
Dec 16, 2018|W|74|68||Delaware
Dec 19, 2018|L|64|71||Hofstra
Dec 22, 2018|W|76|73||Quinnipiac
Dec 29, 2018|W|73|63||Northern Iowa
Jan 5, 2019|W|75|63||UMass Lowell
Jan 9, 2019|W|59|46||Binghamton
Jan 12, 2019|W|62|44||New Hamp.
Jan 19, 2019|W|64|61||Maine
Jan 23, 2019|W|67|66 |OT|Albany
Jan 26, 2019|L|52|73||Vermont
Jan 30, 2019|L|49|57||UMBC
Feb 2, 2019|W|86|77||Hartford
Feb 6, 2019|W|85|59||Binghamton
Feb 9, 2019|W|76|65||UMass Lowell
Feb 16, 2019|W|66|64||New Hamp.

Total Points For:|1866
Total Points Against:|1719
Average Points For:|71.7692307692
Average Points Against:|66.1153846154
Average Point Difference:|5.65384615385

Win Percentage:|80.7692307692
