Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|93|86 |OT|Lafayette
Nov 10, 2018|L|75 |78|OT|Delaware
Nov 14, 2018|L|63|71||Bryant
Nov 20, 2018|L|57|85||NC State
Nov 24, 2018|L|66|75||North Texas
Nov 28, 2018|L|49|99||Auburn
Dec 1, 2018|W|63|59 |OT|Maine
Dec 4, 2018|L|60|65||Clemson
Dec 8, 2018|L|58|74||LIU-Brooklyn
Dec 15, 2018|L|53|54||St. Fran.-NY
Dec 19, 2018|L|74|83||F. Dickinson
Dec 29, 2018|W|83|80 |OT|Hampton
Jan 3, 2019|W|65|60||Siena
Jan 5, 2019|L|44|61||Monmouth
Jan 10, 2019|L|57|60||Fairfield
Jan 13, 2019|W|72|63||Marist
Jan 17, 2019|L|56|58||Manhattan
Jan 22, 2019|W|74|72||Niagara
Jan 27, 2019|L|58|77||Quinnipiac
Jan 31, 2019|L|51|59||Rider
Feb 2, 2019|L|50|64||Manhattan
Feb 7, 2019|L|51|53||Monmouth
Feb 10, 2019|L|60|64||Canisius
Feb 15, 2019|L|46|62||Iona
Feb 17, 2019|L|65|71||Rider

Total Points For:|1543
Total Points Against:|1733
Average Points For:|61.72
Average Points Against:|69.32
Average Point Difference:|-7.6

Win Percentage:|24.0
