Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|109|63||
Nov 10, 2018|W|66|59||San Jose St.
Nov 18, 2018|W|73|70||Seattle
Nov 23, 2018|L|71|76||UNLV
Nov 29, 2018|W|111|64||
Dec 5, 2018|L|71|82||LBSU
Dec 8, 2018|L|86|95||C. Michigan
Dec 15, 2018|W|78|69 |OT|Pepperdine
Dec 21, 2018|L|49|91||USC
Dec 29, 2018|L|62|92||Montana St.
Dec 31, 2018|L|76|89||Montana
Jan 3, 2019|L|68|88||Idaho St.
Jan 5, 2019|W|90|82 |OT|Weber St.
Jan 12, 2019|W|84|82||N. Arizona
Jan 17, 2019|W|83|69||Portland St.
Jan 19, 2019|W|76|71||Sacramento St.
Jan 24, 2019|L|68|79||N. Colorado
Jan 28, 2019|L|77 |80|OT|N. Arizona
Feb 2, 2019|L|79|82||E. Washington
Feb 4, 2019|W|75|64||Idaho
Feb 7, 2019|W|65|53||Weber St.
Feb 9, 2019|W|78|72||Idaho St.
Feb 14, 2019|L|73|84||Sacramento St.
Feb 16, 2019|L|69|78||Portland St.

Total Points For:|1837
Total Points Against:|1834
Average Points For:|76.5416666667
Average Points Against:|76.4166666667
Average Point Difference:|0.125

Win Percentage:|50.0
