Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|W|66|61||Cal-Baker.
Nov 11, 2018|W|79|62||Oral Roberts
Nov 15, 2018|W|77|69||Fresno St.
Nov 20, 2018|L|64|73||Lipscomb
Nov 26, 2018|W|87|69||E. Michigan
Nov 30, 2018|W|89|62||C. Michigan
Dec 5, 2018|W|67|59||SMU
Dec 7, 2018|W|96|61||USC
Dec 16, 2018|W|90|70||Indiana St.
Dec 23, 2018|W|82|57||Charlotte
Dec 23, 2018|W|82|65||Bucknell
Dec 25, 2018|W|83|69||Indiana St.
Jan 5, 2019|W|85|81||Hawaii-Pac.
Jan 9, 2019|L|68|77||Baylor
Jan 12, 2019|L|74|76||Kansas
Jan 15, 2019|W|98|67||Oklahoma
Jan 19, 2019|L|55|65||West Virginia
Jan 23, 2019|W|65|61||Kansas St.
Jan 26, 2019|W|55|50||Texas
Jan 28, 2019|L|65|84||Florida
Feb 2, 2019|L|64|90||Texas Tech
Feb 6, 2019|W|70|68||Baylor
Feb 9, 2019|W|92|83||Oklahoma St.
Feb 11, 2019|L|77 |82|OT|Iowa St.
Feb 16, 2019|L|62|71||Kansas

Total Points For:|1892
Total Points Against:|1732
Average Points For:|75.68
Average Points Against:|69.28
Average Point Difference:|6.4

Win Percentage:|68.0
