Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|75|67||La Salle
Nov 9, 2018|W|83|67||Detroit
Nov 13, 2018|W|81|77||Georgia
Nov 16, 2018|W|81|67||Loyola-Md.
Nov 19, 2018|L|51|57||VCU
Nov 20, 2018|W|76|59||California
Nov 27, 2018|W|79|77||Missouri
Dec 1, 2018|W|77|70||Saint Joseph&#039;s
Dec 5, 2018|L|59|69||Villanova
Dec 12, 2018|W|65|63||Massachusetts
Dec 15, 2018|W|77|75 |OT|Davidson
Dec 22, 2018|W|82|64||Drexel
Jan 2, 2019|L|73|78||UCF
Jan 6, 2019|W|85|81 |OT|Wichita St.
Jan 9, 2019|W|73|69||Houston
Jan 12, 2019|W|82|80 |OT|South Florida
Jan 16, 2019|W|85|74||East Carolina
Jan 19, 2019|L|70|77||Penn
Jan 24, 2019|W|85|76||Memphis
Jan 27, 2019|L|68|72||Cincinnati
Jan 31, 2019|L|66|73||Houston
Feb 2, 2019|W|75|67||Tulane
Feb 6, 2019|W|81|63||Connecticut
Feb 9, 2019|L|58|76||Tulsa
Feb 13, 2019|W|82|74||SMU
Feb 16, 2019|W|70|69 |OT|South Florida

Total Points For:|1939
Total Points Against:|1841
Average Points For:|74.5769230769
Average Points Against:|70.8076923077
Average Point Difference:|3.76923076923

Win Percentage:|73.0769230769
