Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|86|41||Lenoir-Rhyne
Nov 9, 2018|W|87|65||Louisiana
Nov 13, 2018|W|66|53||Georgia Tech
Nov 21, 2018|W|92|81||Louisville
Nov 23, 2018|L|81 |87|OT|Kansas
Nov 28, 2018|W|95|67||E. Kentucky
Dec 2, 2018|W|79|51||Texas A&amp;M-CC
Dec 9, 2018|W|76|73||Gonzaga
Dec 15, 2018|W|102|92||Memphis
Dec 19, 2018|W|83|70||Samford
Dec 22, 2018|W|83|64||Wake Forest
Dec 29, 2018|W|96|53||Tenn. Tech
Jan 5, 2019|W|96|50||Georgia
Jan 8, 2019|W|87|63||Missouri
Jan 12, 2019|W|78|67||Florida
Jan 15, 2019|W|106|87||Arkansas
Jan 19, 2019|W|71|68||Alabama
Jan 23, 2019|W|88|83 |OT|Vanderbilt
Jan 26, 2019|W|83|66||West Virginia
Jan 29, 2019|W|92|70||South Carolina
Feb 2, 2019|W|93|76||Texas A&amp;M
Feb 5, 2019|W|72|60||Missouri
Feb 9, 2019|W|73|61||Florida
Feb 13, 2019|W|85|73||South Carolina
Feb 16, 2019|L|69|86||Kentucky

Total Points For:|2119
Total Points Against:|1707
Average Points For:|84.76
Average Points Against:|68.28
Average Point Difference:|16.48

Win Percentage:|92.0
