Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|71|59||E. Illinois
Nov 9, 2018|W|73|71 |OT|Arkansas
Nov 12, 2018|W|65|55||UL-Monroe
Nov 16, 2018|W|97|69||The Citadel
Nov 22, 2018|W|92|89||North Carolina
Nov 23, 2018|L|68|78||Michigan St.
Nov 30, 2018|L|59|62||Radford
Dec 5, 2018|L|53|54||VCU
Dec 9, 2018|W|72|68||Purdue
Dec 15, 2018|W|98|60||Grand Canyon
Dec 21, 2018|L|65|71||Providence
Dec 28, 2018|W|76|56||UT-Arlington
Jan 2, 2019|W|67|47||Kansas St.
Jan 5, 2019|W|61|54||West Virginia
Jan 8, 2019|L|58|61||Oklahoma St.
Jan 12, 2019|L|62|68||Texas Tech
Jan 14, 2019|L|78|80||Kansas
Jan 19, 2019|W|75|72||Oklahoma
Jan 23, 2019|L|61|65||TCU
Jan 26, 2019|L|88|98||Georgia
Jan 29, 2019|W|73|63||Kansas
Feb 2, 2019|L|60|65||Iowa St.
Feb 6, 2019|W|84|72||Baylor
Feb 9, 2019|W|75|53||West Virginia
Feb 12, 2019|L|64|71||Kansas St.
Feb 16, 2019|W|69|57||Oklahoma St.

Total Points For:|1864
Total Points Against:|1718
Average Points For:|71.6923076923
Average Points Against:|66.0769230769
Average Point Difference:|5.61538461538

Win Percentage:|57.6923076923
