Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|91|84||A&amp;M-Comm.
Nov 9, 2018|L|76|91||Oklahoma
Nov 12, 2018|W|76|69||Texas A&amp;M-CC
Nov 14, 2018|W|70|57||Prairie View
Nov 19, 2018|L|64|69||East Carolina
Nov 21, 2018|L|44|72||Georgia Tech
Nov 23, 2018|W|77|75||Lamar
Nov 26, 2018|W|68|59||Texas A&amp;M-CC
Nov 28, 2018|L|53|58||Houston
Dec 1, 2018|W|76|65||UT-Arlington
Dec 5, 2018|W|70|56||North Dakota
Dec 15, 2018|L|68|77||Texas St.
Dec 18, 2018|L|67|75||Rice
Dec 22, 2018|W|68|64||McNeese St.
Dec 28, 2018|L|46|71||Texas Tech
Jan 3, 2019|L|74|85||UC Irvine
Jan 5, 2019|W|81|74||Cal Baptist
Jan 10, 2019|L|69|75||Cal-Baker.
Jan 12, 2019|L|65|69||Grand Canyon
Jan 17, 2019|L|61|82||Utah Valley
Jan 19, 2019|W|67|62||Seattle
Jan 26, 2019|L|61|63||N. Mex. St.
Jan 31, 2019|W|77|46||Chicago St.
Feb 2, 2019|W|75|63||UMKC
Feb 7, 2019|W|72|69||Grand Canyon
Feb 9, 2019|W|79|74 |OT|Cal-Baker.
Feb 14, 2019|W|59|44||Seattle
Feb 16, 2019|L|64|76||Utah Valley

Total Points For:|1918
Total Points Against:|1924
Average Points For:|68.5
Average Points Against:|68.7142857143
Average Point Difference:|-0.214285714286

Win Percentage:|53.5714285714
