Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|72|69||Baylor
Nov 10, 2018|L|67|104||Gonzaga
Nov 12, 2018|L|73|85||Iowa St.
Nov 14, 2018|L|64|103||San Diego St
Nov 18, 2018|L|63|85||Evansville
Nov 26, 2018|W|89|84||Oregon
Nov 29, 2018|W|81|76||
Dec 1, 2018|L|71|83||Arizona St.
Dec 3, 2018|L|75|92||Georgia
Dec 8, 2018|W|107|70||
Dec 17, 2018|L|70|77||Tulane
Dec 19, 2018|L|72|80||Lamar
Dec 29, 2018|W|88|73||Texas A&amp;M
Jan 5, 2019|W|87|70||Alcorn St.
Jan 7, 2019|W|77|67||Southern U.
Jan 12, 2019|L|73|79||Prairie View
Jan 19, 2019|L|87 |88|OT|Grambling
Jan 21, 2019|W|75|65||Jackson St.
Jan 26, 2019|L|86|90||Ark.-Pine Bluff
Jan 28, 2019|W|65|62||Miss Valley St.
Feb 2, 2019|W|83|59||Alabama St.
Feb 4, 2019|W|84|74||Alabama A&amp;M
Feb 9, 2019|W|95|90||Prairie View
Feb 16, 2019|W|86|85||Grambling

Total Points For:|1890
Total Points Against:|1910
Average Points For:|78.75
Average Points Against:|79.5833333333
Average Point Difference:|-0.833333333333

Win Percentage:|54.1666666667
