Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|67|57||Air Force
Nov 13, 2018|W|97|52||
Nov 17, 2018|L|69|75||Drake
Nov 21, 2018|W|54|42||Cal Poly
Nov 23, 2018|W|82|50||SC Upstate
Nov 24, 2018|W|91|68||Portland
Nov 28, 2018|W|74|60||Rice
Dec 1, 2018|W|69|68||UT-San Antonio
Dec 5, 2018|W|61|55||Texas A&amp;M-CC
Dec 8, 2018|W|90|80||Houston Bap.
Dec 15, 2018|W|77|68||UT-Rio Grande Valley
Dec 22, 2018|L|70|73||Arkansas
Dec 29, 2018|W|105|29||
Jan 3, 2019|W|73|70||Ga. Southern
Jan 5, 2019|L|69|73||Georgia St.
Jan 10, 2019|W|65|61||Coastal Carolina
Jan 12, 2019|W|70|69||App. St.
Jan 17, 2019|W|80|62||Little Rock
Jan 19, 2019|W|77|64||Arkansas St.
Jan 24, 2019|W|81|68||Georgia St.
Jan 26, 2019|L|58|74||Ga. Southern
Feb 2, 2019|L|77 |84|OT|UT-Arlington
Feb 7, 2019|W|74|71||App. St.
Feb 9, 2019|W|65|57||Coastal Carolina
Feb 14, 2019|W|84|74||Arkansas St.
Feb 16, 2019|W|67|60||Little Rock

Total Points For:|1946
Total Points Against:|1664
Average Points For:|74.8461538462
Average Points Against:|64.0
Average Point Difference:|10.8461538462

Win Percentage:|80.7692307692
