Date|Win?|Points For|Points Against|OT?|Opponent
Nov 10, 2018|L|79|86||Lipscomb
Nov 13, 2018|L|67|83||Little Rock
Nov 15, 2018|W|92|57||
Nov 17, 2018|W|113|61||
Nov 20, 2018|L|77|80||CSNorthridge 
Nov 23, 2018|L|62|77||Kentucky
Dec 1, 2018|L|74|88||W. Kentucky
Dec 9, 2018|W|64|55||Coppin St.
Dec 15, 2018|L|76|78||NC A&amp;T
Dec 18, 2018|L|60|82||Akron
Dec 22, 2018|L|41|99||Memphis
Dec 29, 2018|L|76|95||Vanderbilt
Jan 3, 2019|L|64|66||Tenn. Tech
Jan 5, 2019|L|62|69||Jax. State
Jan 10, 2019|W|82|81||E. Kentucky
Jan 12, 2019|L|61|74||Morehead St.
Jan 17, 2019|W|79|62||Tenn. Tech
Jan 19, 2019|L|74|92||Belmont
Jan 24, 2019|L|74|89||Austin Peay
Jan 26, 2019|L|62|100||Murray St.
Jan 31, 2019|W|68|67||UT Martin
Feb 2, 2019|W|79|50||SE Missouri St.
Feb 7, 2019|W|81|80 |OT|Morehead St.
Feb 9, 2019|L|65|75||E. Kentucky
Feb 14, 2019|L|66|77||Belmont
Feb 16, 2019|L|65|84||Jax. State

Total Points For:|1863
Total Points Against:|2007
Average Points For:|71.6538461538
Average Points Against:|77.1923076923
Average Point Difference:|-5.53846153846

Win Percentage:|30.7692307692
