Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|61|76||Memphis
Nov 10, 2018|L|65|80||Presbyterian
Nov 13, 2018|L|83|97||Savannah St.
Nov 16, 2018|L|58|108||North Carolina
Nov 18, 2018|L|33|101||Michigan St.
Nov 23, 2018|W|79|73||UL-Monroe
Nov 28, 2018|L|70|82||Winthrop
Dec 1, 2018|L|60|71||Chattanooga
Dec 6, 2018|W|118|60||
Dec 9, 2018|W|97|60||
Dec 15, 2018|L|68|73||Kennesaw St.
Dec 20, 2018|W|91|80||Savannah St.
Dec 29, 2018|L|53|96||Tennessee
Jan 3, 2019|W|66|64||Tennessee St.
Jan 5, 2019|L|67|79||Belmont
Jan 10, 2019|W|78|69 |OT|SIUE
Jan 12, 2019|L|60|67||E. Illinois
Jan 17, 2019|L|62|79||Tennessee St.
Jan 19, 2019|L|48|65||Jax. State
Jan 24, 2019|L|61|67||Morehead St.
Jan 26, 2019|W|91|85||E. Kentucky
Jan 31, 2019|L|66|77||Austin Peay
Feb 2, 2019|L|63|67||Murray St.
Feb 7, 2019|L|66 |71|OT|SE Missouri St.
Feb 9, 2019|L|58|77||UT Martin
Feb 14, 2019|L|57|67||Jax. State
Feb 16, 2019|L|65|93||Belmont

Total Points For:|1844
Total Points Against:|2084
Average Points For:|68.2962962963
Average Points Against:|77.1851851852
Average Point Difference:|-8.88888888889

Win Percentage:|25.9259259259
