Date|Win?|Points For|Points Against|OT?|Opponent
Nov 9, 2018|W|87|86||Oakland
Nov 10, 2018|W|99|58||
Nov 14, 2018|L|74|84||Wright St.
Nov 19, 2018|W|90|62||FGCU
Nov 20, 2018|W|77|64||Louisiana
Nov 21, 2018|W|67|60||UC Irvine
Nov 28, 2018|W|80|59||N. Alabama
Dec 1, 2018|W|80|67||Clev. St.
Dec 5, 2018|W|101|57||Detroit
Dec 8, 2018|W|75|74 |OT|Marshall
Dec 15, 2018|W|84|62||Middle Tenn.
Dec 19, 2018|W|86|70||Cornell
Dec 29, 2018|W|77|45||Penn
Jan 4, 2019|L|64|79||Ball St.
Jan 8, 2019|L|80|110||Buffalo
Jan 12, 2019|W|85|77||W. Michigan
Jan 15, 2019|W|71|59||Miami (Ohio)
Jan 18, 2019|W|75|52||Ohio
Jan 22, 2019|L|85 |87|OT|Kent St.
Jan 26, 2019|W|76|72||C. Michigan
Jan 29, 2019|W|66|63||Miami (Ohio)
Feb 2, 2019|W|69|55||N. Illinois
Feb 5, 2019|W|63|52||Akron
Feb 9, 2019|W|78|71||Bowling Green
Feb 15, 2019|L|82|88||Buffalo

Total Points For:|1971
Total Points Against:|1713
Average Points For:|78.84
Average Points Against:|68.52
Average Point Difference:|10.32

Win Percentage:|80.0
