Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|42|73||Virginia
Nov 11, 2018|W|93|66||
Nov 16, 2018|L|65|74||Pepperdine
Nov 17, 2018|L|71|85||FAU
Nov 18, 2018|L|51|76||N. Dakota St.
Nov 25, 2018|W|82|72||Loyola-Md.
Nov 30, 2018|L|64|70||Vermont
Dec 5, 2018|L|64|68||George Wash.
Dec 8, 2018|L|69|74||Morgan St.
Dec 11, 2018|W|80|76 |OT|UMBC
Dec 21, 2018|W|73|55||Tulane
Dec 22, 2018|L|51|57||La Salle
Dec 28, 2018|W|77|60||Elon
Dec 30, 2018|L|61|71||William &amp; Mary
Jan 3, 2019|L|55|67||Charleston
Jan 5, 2019|L|61|67||UNC-Wilm.
Jan 9, 2019|L|74|86||Cornell
Jan 12, 2019|L|65|74||James Madison
Jan 17, 2019|L|66|72||Drexel
Jan 19, 2019|W|64|63||Delaware
Jan 24, 2019|W|75|72||Northeastern
Jan 26, 2019|L|61|84||Hofstra
Jan 31, 2019|W|77|76||UNC-Wilm.
Feb 2, 2019|L|53|54||Charleston
Feb 9, 2019|W|66|59||James Madison
Feb 14, 2019|L|71 |78|OT|Delaware
Feb 16, 2019|W|92|77||Drexel

Total Points For:|1823
Total Points Against:|1906
Average Points For:|67.5185185185
Average Points Against:|70.5925925926
Average Point Difference:|-3.07407407407

Win Percentage:|37.037037037
