Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|95|60||Fort Valley St.
Nov 10, 2018|L|58|62||Saint Louis
Nov 12, 2018|L|75|84||Pittsburgh
Nov 15, 2018|L|66|81||So. Miss
Nov 18, 2018|W|82|77||Cent. Arkansas
Nov 24, 2018|W|77|58||N. Alabama
Nov 29, 2018|L|74 |79|OT|Austin Peay
Dec 3, 2018|L|67|83||Florida St.
Dec 12, 2018|W|88|43||
Dec 16, 2018|W|87|81||W. Kentucky
Dec 21, 2018|W|74|73||UAB
Dec 29, 2018|W|71|63||Ark.-Pine Bluff
Jan 3, 2019|L|75|88||Coastal Carolina
Jan 5, 2019|W|89|85||App. St.
Jan 10, 2019|L|59|73||Little Rock
Jan 12, 2019|W|90|85 |OT|Arkansas St.
Jan 17, 2019|L|82|90||Ga. Southern
Jan 19, 2019|W|77|75||Georgia St.
Jan 24, 2019|L|69|75||UL-Monroe
Jan 26, 2019|L|81|86||Louisiana
Feb 2, 2019|L|75|81||South Alabama
Feb 7, 2019|L|70|84||Little Rock
Feb 9, 2019|W|84|79||Arkansas St.
Feb 13, 2019|L|63|77||Georgia St.
Feb 15, 2019|L|51|76||Ga. Southern

Total Points For:|1879
Total Points Against:|1898
Average Points For:|75.16
Average Points Against:|75.92
Average Point Difference:|-0.76

Win Percentage:|44.0
