Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|73|56||Alcorn St.
Nov 10, 2018|W|74|52||SC State
Nov 16, 2018|W|82|79||Cal Baptist
Nov 19, 2018|W|88|78||Little Rock
Nov 22, 2018|L|86|96||Nevada
Nov 24, 2018|L|69|79||S. Illinois
Nov 27, 2018|W|72|58||UT-Arlington
Dec 1, 2018|L|64|69||Utah
Dec 5, 2018|W|74|71||Oklahoma St.
Dec 8, 2018|W|47|46||Kansas St.
Dec 13, 2018|W|70|60||New Orleans
Dec 16, 2018|W|72|67||Dayton
Dec 22, 2018|W|69|59||Oral Roberts
Jan 2, 2019|L|56|74||Houston
Jan 5, 2019|W|78|75||South Florida
Jan 10, 2019|L|65 |70|OT|Cincinnati
Jan 12, 2019|L|57|77||SMU
Jan 16, 2019|W|89|83||Connecticut
Jan 19, 2019|L|62|64||UCF
Jan 24, 2019|L|64|88||Cincinnati
Jan 27, 2019|L|65|77||Houston
Jan 30, 2019|W|95|79||Memphis
Feb 2, 2019|L|68|79||Wichita St.
Feb 9, 2019|W|76|58||Temple
Feb 14, 2019|W|80|57||Tulane
Feb 17, 2019|W|77|73 |OT|East Carolina

Total Points For:|1872
Total Points Against:|1824
Average Points For:|72.0
Average Points Against:|70.1538461538
Average Point Difference:|1.84615384615

Win Percentage:|61.5384615385
