Date|Win?|Points For|Points Against|OT?|Opponent
Nov 7, 2018|L|76|77||St. Edwards
Nov 12, 2018|L|67|87||Oklahoma
Nov 14, 2018|L|60|82||UT-San Antonio
Nov 19, 2018|L|56|65||UT-San Antonio
Nov 20, 2018|L|79|99||S. Dak. St.
Nov 21, 2018|W|76|65||UT-San Antonio
Nov 26, 2018|W|86|82||UT-San Antonio
Dec 1, 2018|L|68|69||Texas St.
Dec 8, 2018|W|104|74||Mid-American Christian
Dec 15, 2018|L|67|79||UT-San Antonio
Dec 17, 2018|W|101|77||Bethany (KS)
Dec 20, 2018|W|64|50||UT-San Antonio
Dec 29, 2018|W|70|67||SE Okla. State
Jan 3, 2019|W|75|60||UTEP
Jan 5, 2019|W|67|63||UT-San Antonio
Jan 10, 2019|W|95|79||Rice
Jan 12, 2019|W|76|74||North Texas
Jan 17, 2019|L|86|89||UT-San Antonio
Jan 19, 2019|L|73|83||UT-San Antonio
Jan 24, 2019|W|88|43||Charlotte
Jan 26, 2019|W|74|73||Old Dominion
Jan 31, 2019|L|88 |96|OT|UT-San Antonio
Feb 2, 2019|W|116|106 |OT|UT-San Antonio
Feb 7, 2019|W|100|67||FIU
Feb 9, 2019|W|86|74||FAU
Feb 14, 2019|L|71|78||UT-San Antonio
Feb 16, 2019|L|67|72||UT-San Antonio

Total Points For:|2136
Total Points Against:|2030
Average Points For:|79.1111111111
Average Points Against:|75.1851851852
Average Point Difference:|3.92592592593

Win Percentage:|55.5555555556
