Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|87|37||Incarnate Word
Nov 9, 2018|W|84|52||Miss Valley St.
Nov 13, 2018|W|59|40||SE Louisiana
Nov 19, 2018|W|78|63||USC
Nov 20, 2018|W|70|52||Nebraska
Nov 24, 2018|W|93|62||N. Colorado
Dec 1, 2018|W|78|67||Memphis
Dec 5, 2018|W|65|47||Ark.-Pine Bluff
Dec 12, 2018|W|79|44||Northwestern St.
Dec 15, 2018|W|82|48||Abil Christian
Dec 20, 2018|L|58|69||Duke
Dec 28, 2018|W|71|46||UT-Rio Grande Valley
Jan 2, 2019|W|62|59||West Virginia
Jan 5, 2019|W|63|57||Kansas St.
Jan 8, 2019|W|66|59||Oklahoma
Jan 12, 2019|W|68|62||Texas
Jan 16, 2019|L|64|68||Iowa St.
Jan 19, 2019|L|62|73||Baylor
Jan 22, 2019|L|45|58||Kansas St.
Jan 26, 2019|W|67|64||Arkansas
Jan 28, 2019|W|84|65||TCU
Feb 2, 2019|L|63|79||Kansas
Feb 4, 2019|W|81|50||West Virginia
Feb 9, 2019|W|66|54||Oklahoma
Feb 13, 2019|W|78|50||Oklahoma St.
Feb 16, 2019|W|86|61||Baylor

Total Points For:|1859
Total Points Against:|1486
Average Points For:|71.5
Average Points Against:|57.1538461538
Average Point Difference:|14.3461538462

Win Percentage:|80.7692307692
