Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|75|67||Mercer
Nov 14, 2018|W|75|68||New Orleans
Nov 18, 2018|W|77|47||W. Alabama
Nov 22, 2018|L|63|81||Florida St.
Nov 23, 2018|L|51|74||Charleston
Nov 25, 2018|W|68|58||Canisius
Nov 29, 2018|W|67|57||Alabama A&amp;M
Dec 4, 2018|W|73|67||N. Alabama
Dec 8, 2018|L|76|94||Memphis
Dec 15, 2018|L|71 |75|OT|Auburn
Dec 18, 2018|W|76|49||Alcorn St.
Dec 21, 2018|L|73|74||Troy
Dec 29, 2018|W|75|67||Ark.-Monticello
Jan 3, 2019|W|67|50||FAU
Jan 5, 2019|W|84|65||FIU
Jan 10, 2019|L|53|64||Louisiana Tech
Jan 12, 2019|L|68|73||So. Miss
Jan 17, 2019|W|76|63||UTEP
Jan 19, 2019|W|83|73||UT-San Antonio
Jan 24, 2019|W|52|49||North Texas
Jan 26, 2019|W|89|86||Rice
Jan 30, 2019|L|65|71||Middle Tenn.
Feb 2, 2019|L|78|79||Middle Tenn.
Feb 7, 2019|L|59|70||Old Dominion
Feb 9, 2019|L|62|69||Charlotte
Feb 14, 2019|W|77|68||Marshall
Feb 16, 2019|W|68|60||W. Kentucky

Total Points For:|1901
Total Points Against:|1818
Average Points For:|70.4074074074
Average Points Against:|67.3333333333
Average Point Difference:|3.07407407407

Win Percentage:|59.2592592593
