Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|42|76||San Fran.
Nov 9, 2018|L|57|76||San Diego
Nov 12, 2018|L|58|81||Arkansas
Nov 17, 2018|W|57|54 |OT|Texas A&amp;M-CC
Nov 18, 2018|L|59|68||UT-Arlington
Nov 20, 2018|L|55|58||Sacramento St.
Nov 23, 2018|L|62|76||Indiana
Nov 29, 2018|W|73|57||N. Arizona
Dec 5, 2018|L|62|71||N. Illinois
Dec 16, 2018|W|83|65||William Jessup
Dec 22, 2018|L|68|70||Arizona
Dec 28, 2018|L|59|77||LMU
Dec 30, 2018|L|55|73||USC
Jan 5, 2019|W|90|60||
Jan 10, 2019|L|69 |71|OT|UC Irvine
Jan 12, 2019|L|77|82||LBSU
Jan 17, 2019|L|58|69||UCSB
Jan 19, 2019|W|75|63||Cal Poly
Jan 27, 2019|L|60|80||Hawaii
Feb 2, 2019|W|84|71||UC Riverside
Feb 7, 2019|W|63|53||Cal Poly
Feb 10, 2019|W|61|57||UCSB
Feb 13, 2019|W|76|59||CSNorthridge 
Feb 16, 2019|W|77|73||LBSU

Total Points For:|1580
Total Points Against:|1640
Average Points For:|65.8333333333
Average Points Against:|68.3333333333
Average Point Difference:|-2.5

Win Percentage:|41.6666666667
