Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|84|70||Rider
Nov 11, 2018|L|79|80||FAU
Nov 15, 2018|W|68|52||CSFullerton
Nov 16, 2018|W|77|57||Saint Joseph&#039;s
Nov 18, 2018|W|78|62||W. Kentucky
Nov 24, 2018|W|66|53||N. Kentucky
Nov 29, 2018|W|70|64||Alabama
Dec 2, 2018|L|62 |64|OT|Missouri
Dec 8, 2018|W|70|45||Grambling
Dec 11, 2018|W|95|88||Ga. Southern
Dec 16, 2018|W|90|65||Stetson
Dec 21, 2018|W|77|56||Illinois St.
Jan 2, 2019|W|78|73||Temple
Jan 5, 2019|W|65|53||Connecticut
Jan 13, 2019|W|76|65||East Carolina
Jan 16, 2019|L|67|75||Wichita St.
Jan 19, 2019|W|64|62||Tulsa
Jan 23, 2019|W|75|50||Tulane
Jan 27, 2019|L|57|77||Memphis
Jan 31, 2019|W|73|67||Connecticut
Feb 7, 2019|L|68|77||Houston
Feb 10, 2019|W|71|65||SMU
Feb 13, 2019|W|78|65||South Florida
Feb 16, 2019|W|79|72||Memphis

Total Points For:|1767
Total Points Against:|1557
Average Points For:|73.625
Average Points Against:|64.875
Average Point Difference:|8.75

Win Percentage:|79.1666666667
