Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|W|86|68||Idaho
Nov 9, 2018|W|74|73||Texas A&amp;M
Nov 12, 2018|W|87|53||
Nov 15, 2018|W|61|49||Santa Clara
Nov 19, 2018|W|65|56||UT-San Antonio
Nov 20, 2018|W|67|55||Tulane
Nov 21, 2018|L|60|67||Toledo
Nov 28, 2018|W|80|75||Saint Mary&#039;s
Dec 1, 2018|L|65|89||Utah St.
Dec 5, 2018|W|69|66||Cal Baptist
Dec 8, 2018|W|60|51||Montana
Dec 15, 2018|W|86|52||Denver
Dec 19, 2018|W|52|48||E. Michigan
Dec 21, 2018|L|54|71||Butler
Dec 29, 2018|L|75 |84|OT|Pacific
Jan 3, 2019|W|85|74||UT-Rio Grande Valley
Jan 10, 2019|W|71|69 |OT|UC Davis
Jan 12, 2019|W|63|46||CSFullerton
Jan 16, 2019|L|70|80||LBSU
Jan 19, 2019|W|74|68||CSNorthridge 
Jan 24, 2019|W|75|74 |OT|Hawaii
Jan 26, 2019|W|82|64||UC Riverside
Jan 31, 2019|W|66|62 |OT|UCSB
Feb 2, 2019|W|82|80||LBSU
Feb 6, 2019|W|60|53||CSFullerton
Feb 9, 2019|W|67|56||Hawaii
Feb 17, 2019|W|83|70||UCSB

Total Points For:|1919
Total Points Against:|1753
Average Points For:|71.0740740741
Average Points Against:|64.9259259259
Average Point Difference:|6.14814814815

Win Percentage:|81.4814814815
