Date|Win?|Points For|Points Against|OT?|Opponent
Nov 8, 2018|W|80|70||Morehead St.
Nov 11, 2018|W|94|66||UMKC
Nov 15, 2018|W|83|76||Syracuse
Nov 16, 2018|L|72|91||Iowa
Nov 20, 2018|W|91|74||Cornell
Nov 24, 2018|W|91|66||New Hamp.
Nov 27, 2018|W|97|75||UMass Lowell
Dec 2, 2018|L|72|76||Arizona
Dec 5, 2018|W|90|63||Lafayette
Dec 8, 2018|L|71|79||Florida St.
Dec 15, 2018|W|61|46||Manhattan
Dec 18, 2018|W|97|65||Drexel
Dec 22, 2018|L|58|81||Villanova
Jan 2, 2019|L|68|76||South Florida
Jan 5, 2019|L|53|65||UCF
Jan 10, 2019|W|76|64||SMU
Jan 12, 2019|L|72 |74|OT|Cincinnati
Jan 16, 2019|L|83|89||Tulsa
Jan 19, 2019|W|87|71||Tulane
Jan 26, 2019|W|80|60||Wichita St.
Jan 31, 2019|L|67|73||UCF
Feb 3, 2019|W|76|52||East Carolina
Feb 6, 2019|L|63|81||Temple
Feb 10, 2019|L|71|78||Memphis
Feb 14, 2019|L|63|71||Houston

Total Points For:|1916
Total Points Against:|1782
Average Points For:|76.64
Average Points Against:|71.28
Average Point Difference:|5.36

Win Percentage:|52.0
