Date|Win?|Points For|Points Against|OT?|Opponent
Nov 6, 2018|L|59|72||Oregon St.
Nov 10, 2018|L|64|71||Portland St.
Nov 13, 2018|L|51|72||UNLV
Nov 17, 2018|W|63|53||
Nov 22, 2018|L|54|74||Pacific
Nov 23, 2018|W|77|64||Elon
Nov 24, 2018|L|48|60||Abil Christian
Nov 29, 2018|L|70|80||Cal Baptist
Dec 2, 2018|L|73|82||Valparaiso
Dec 6, 2018|W|75|71||Pepperdine
Dec 16, 2018|L|56|68||UTEP
Dec 19, 2018|W|87|50||
Dec 22, 2018|W|60|53||LMU
Dec 28, 2018|L|60|72||Air Force
Dec 30, 2018|L|64|73||W. Michigan
Jan 4, 2019|W|112|47||Bethesda
Jan 9, 2019|L|83|84||CSNorthridge 
Jan 12, 2019|L|64|72||UCSB
Jan 17, 2019|L|61|69||CSFullerton
Jan 19, 2019|W|75|71||Hawaii
Jan 23, 2019|W|74|51||Cal Poly
Jan 26, 2019|L|64|82||UC Irvine
Jan 31, 2019|L|45|71||Cal Poly
Feb 2, 2019|L|71|84||UC Davis
Feb 9, 2019|L|54|77||CSFullerton
Feb 14, 2019|W|71|57||UCSB
Feb 17, 2019|L|64|87||Hawaii

Total Points For:|1799
Total Points Against:|1867
Average Points For:|66.6296296296
Average Points Against:|69.1481481481
Average Point Difference:|-2.51851851852

Win Percentage:|33.3333333333
